"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"487",1,1,3,320,19,15,9,19,"Favorite","Uniform",112.5
"1495",1,2,5,215,12,10,2300,12,"Favorite","Uniform",140
"1728",1,2,2,378,13,13,534,13,"Favorite","Uniform",142.5
"2976",1,3,3,238,33,25,477,29,"Favorite","Uniform",296.87
"2384",1,3,6,336,20,18,3576,20,"Favorite","Uniform",190
"2151",1,2,4,365,7,6,492,7,"Favorite","Uniform",100
"2731",1,2,5,152,9,9,819,9,"Favorite","Uniform",112.5
"2488",1,2,5,324,14,10,8,14,"Uniform","Uniform",132.51
"1460",1,2,6,461,15,12,4359,15,"Favorite","Uniform",107.5
"67",2,1,5,398,12,12,240,12,"Favorite","Uniform",116.11
"2524",1,1,7,172,11,11,1378,2,"Favorite","Uniform",201.16
"3068",1,2,3,414,25,15,3403,24,"Favorite","Uniform",124.99
"2229",1,3,5,307,18,16,798,18,"Favorite","Uniform",150
"321",2,2,5,407,14,14,4283,14,"Favorite","Uniform",157.27
"2970",1,2,5,421,8,8,913,0,"Favorite","Uniform",135.92
"728",1,3,6,341,14,14,1809,14,"Favorite","Uniform",140.01
"2203",1,2,6,425,14,14,776,12,"Uniform","Uniform",109.93
"229",2,1,6,362,10,9,459,10,"Favorite","Uniform",105.85
"2792",1,1,18,382,14,14,381,14,"Favorite","Uniform",122.5
"2085",1,1,5,265,20,15,1083,20,"Favorite","Uniform",126.75
"1917",1,5,2,400,22,21,2146,18,"Favorite","Uniform",304.99
"5",1,3,6,422,44,31,1066,44,"Uniform","Uniform",335.05
"1611",1,2,4,423,11,11,2459,11,"Uniform","Uniform",107.5
"521",1,1,6,456,10,10,1629,8,"Uniform","Uniform",110.64
"2874",1,2,4,257,19,14,1629,19,"Uniform","Uniform",122.5
"234",2,1,7,324,11,11,1273,11,"Favorite","Uniform",106.8
"133",2,1,7,182,8,8,333,8,"Favorite","Uniform",101.58
"2815",1,2,6,224,14,14,2605,14,"Favorite","Uniform",105
"1371",1,2,3,405,16,12,3192,16,"Favorite","Uniform",114
"683",1,1,3,313,11,11,86,11,"Favorite","Favorite",120
"492",1,3,6,356,13,12,478,13,"Favorite","Uniform",140
"2948",1,2,4,321,13,13,114,13,"Favorite","Uniform",145
"2013",1,3,5,393,18,18,808,14,"Favorite","Uniform",279.99
"681",1,2,4,308,15,15,422,15,"Favorite","Uniform",116.26
"1676",1,1,6,402,21,14,2917,21,"Uniform","Uniform",102.75
"263",2,2,2,458,14,14,2982,14,"Favorite","Uniform",170.75
"2889",1,2,2,467,14,14,417,14,"Favorite","Uniform",138
"865",1,3,5,314,20,15,1260,16,"Favorite","Uniform",220.62
"1304",1,3,5,366,19,18,1085,19,"Favorite","Uniform",152.5
"2034",1,3,2,367,16,12,708,16,"Uniform","Uniform",142.5
"1125",1,1,4,335,24,18,0,24,"Favorite","NONE",152.5
"2411",1,1,6,294,12,8,224,12,"Favorite","Uniform",115.01
"1223",1,2,7,196,10,9,1020,6,"Uniform","Uniform",195
"1756",1,3,4,351,21,22,158,3,"Favorite","Uniform",304.43
"508",1,4,4,442,26,19,1326,26,"Uniform","Uniform",127.5
"890",1,1,6,392,17,14,2872,17,"Favorite","Uniform",140
"3117",1,1,7,124,11,11,338,11,"Favorite","Uniform",100.01
"1922",1,1,6,450,9,9,223,9,"Favorite","Favorite",105
"2078",1,2,4,387,21,20,4459,21,"Favorite","Uniform",182.5
"233",2,2,7,202,19,19,211,19,"Favorite","Favorite",139.19
"1779",1,1,6,265,19,18,3367,15,"Uniform","Uniform",178.66
"556",1,1,9,372,16,10,21,12,"Uniform","Uniform",100.08
"685",1,2,7,153,9,9,670,9,"Favorite","Uniform",117.51
"3030",1,1,5,392,13,13,3092,13,"Favorite","Uniform",125
"2377",1,3,2,396,10,10,493,10,"Favorite","Uniform",100
"1290",1,2,7,366,20,20,659,20,"Favorite","Uniform",192.5
"1629",1,2,3,366,18,11,138,18,"Uniform","Uniform",137.5
"3167",1,2,6,334,23,20,9214,23,"Favorite","Uniform",195.27
"2631",1,2,5,452,12,12,1685,12,"Favorite","Uniform",170
"3194",1,5,5,442,19,13,1607,19,"Favorite","Uniform",110
"3201",1,2,7,313,15,15,952,10,"Favorite","Uniform",175.51
"2262",1,1,7,289,12,12,269,12,"Favorite","Uniform",122.5
"1187",1,1,5,287,8,8,3091,8,"Favorite","Uniform",100
"2323",1,4,6,307,13,13,665,13,"Favorite","Favorite",107.5
"1632",1,2,5,320,14,12,194,14,"Favorite","Uniform",115
"1752",1,3,3,373,30,22,925,30,"Uniform","Uniform",135
"2717",1,2,5,248,19,22,2398,16,"Favorite","Uniform",164.96
"12",1,3,4,167,17,17,1961,17,"Uniform","Uniform",125.04
"1680",1,2,5,452,9,8,1331,9,"Favorite","Uniform",120
"308",2,1,6,463,6,6,662,6,"Favorite","Uniform",103.51
"1938",1,3,4,378,37,27,1418,30,"Favorite","Uniform",303.69
"1155",1,2,4,439,11,11,952,11,"Favorite","Uniform",107.5
"3204",1,1,4,431,26,26,1166,26,"Favorite","Uniform",205
"1040",1,3,2,377,7,7,1378,7,"Favorite","Uniform",110
"1675",2,4,3,453,16,14,2539,16,"Favorite","Uniform",158.26
"2903",1,1,6,410,11,11,2323,11,"Uniform","Uniform",125.01
"756",1,1,4,333,14,13,15,14,"Favorite","Uniform",122.5
"2397",1,1,7,334,9,9,0,0,"Favorite","NONE",130.69
"2832",1,2,3,428,17,17,1011,8,"Favorite","Uniform",424.94
"2809",1,2,2,333,12,12,265,12,"Favorite","Uniform",100
"1093",1,2,6,409,27,23,310,27,"Favorite","Uniform",260
"1242",1,1,6,430,23,20,241,22,"Favorite","Uniform",205.5
"1227",1,2,5,470,12,12,3378,12,"Favorite","Uniform",107.5
"787",1,1,4,369,8,8,758,2,"Favorite","Uniform",195
"2096",1,3,2,357,8,8,416,8,"Favorite","Uniform",102.5
"1485",1,1,5,376,22,14,527,19,"Favorite","Uniform",105.21
"523",1,2,4,309,7,7,1385,7,"Favorite","Uniform",125
"722",1,1,5,424,16,13,1347,13,"Uniform","Uniform",153.66
"446",1,3,3,330,52,51,2608,34,"Favorite","Uniform",604.75
"2904",1,2,9,422,12,12,1022,12,"Favorite","Uniform",106
"1476",1,1,6,366,17,16,3282,17,"Favorite","Uniform",132.5
"2207",1,2,5,403,10,10,1694,10,"Favorite","Uniform",122.5
"173",2,1,6,403,12,12,509,12,"Favorite","Uniform",125.38
"3041",1,3,4,228,9,8,828,9,"Uniform","Uniform",117.5
"2675",1,2,4,468,15,15,2912,15,"Uniform","Uniform",133.75
"30",1,5,2,444,26,26,7766,26,"Favorite","Uniform",205.01
"347",2,2,4,297,12,12,1815,12,"Favorite","Uniform",112.59
"2693",1,2,4,467,20,20,2931,13,"Favorite","Uniform",273.93
"1069",1,1,6,366,18,18,551,0,"Favorite","Uniform",431.71
"1764",1,3,5,433,37,37,6743,31,"Favorite","Uniform",750.96
"1440",1,1,8,357,17,17,307,17,"Favorite","Uniform",272.5
"2653",1,2,5,379,21,13,440,21,"Favorite","Uniform",107.5
"1251",1,3,6,381,11,10,6297,11,"Favorite","Uniform",125
"1435",1,1,5,413,10,7,116,6,"Uniform","Uniform",106.46
"1652",1,2,6,450,41,36,3589,39,"Favorite","Uniform",297.48
"2535",1,1,5,175,12,9,177,6,"Uniform","Uniform",210
"3199",1,1,5,347,12,9,678,6,"Uniform","Uniform",115.93
"2146",1,3,6,429,25,25,1069,5,"Favorite","Uniform",591.75
"2841",1,3,2,373,16,16,1950,16,"Favorite","Uniform",125
"225",2,1,4,402,19,19,4948,19,"Favorite","Uniform",280.66
"966",1,2,2,359,7,7,36,3,"Favorite","Uniform",209.99
"1786",1,2,6,337,41,25,321,41,"Favorite","Uniform",245
"1817",1,2,5,377,9,9,225,6,"Favorite","Favorite",142.97
"309",2,1,6,220,16,16,391,16,"Favorite","Uniform",137.24
"3004",1,3,3,387,11,11,1852,9,"Favorite","Uniform",180.48
"542",1,4,4,330,17,17,622,17,"Favorite","Uniform",132.5
"572",1,2,5,133,9,9,1682,2,"Uniform","Uniform",254.99
"2210",1,6,6,208,12,12,106,12,"Favorite","Uniform",150
"2818",1,2,7,316,12,11,1601,12,"Favorite","Uniform",115
"1448",1,3,6,466,16,16,2818,16,"Favorite","Uniform",165
"2975",1,3,3,310,15,13,3202,15,"Uniform","Uniform",127.5
"917",1,1,7,463,15,13,1069,15,"Favorite","Uniform",112.5
"1661",1,3,2,329,13,13,2633,13,"Favorite","Uniform",117.5
"2625",1,2,4,386,20,14,1267,20,"Uniform","Uniform",140
"1627",2,1,9,335,12,12,181,12,"Favorite","Uniform",135.41
"238",2,1,7,462,21,21,2863,21,"Favorite","Uniform",313.08
"1141",1,1,4,312,11,11,0,1,"Favorite","NONE",189.92
"2628",1,6,9,436,25,21,1898,23,"Favorite","Uniform",240.98
"3152",1,2,3,372,19,18,1323,15,"Favorite","Uniform",230.22
"2574",1,1,5,428,15,13,2353,15,"Favorite","Uniform",114
"1107",1,1,5,181,13,13,419,13,"Favorite","Uniform",115
"2097",1,2,4,465,12,12,2238,12,"Favorite","Uniform",120.75
"1784",1,2,5,331,19,16,519,16,"Uniform","Uniform",173.68
"409",1,2,6,329,19,19,190,19,"Favorite","Uniform",260
"2533",1,3,5,454,17,13,322,8,"Uniform","Uniform",270.93
"1953",1,2,4,349,19,18,1187,19,"Favorite","Uniform",203.62
"1463",1,2,4,372,28,20,1263,25,"Favorite","Uniform",198.66
"604",1,2,5,364,20,14,2970,20,"Favorite","Uniform",152
"507",1,1,6,206,8,8,113,5,"Favorite","Uniform",113.47
"2919",1,2,4,439,23,16,772,23,"Favorite","Uniform",165
"1031",1,2,4,416,10,10,2387,10,"Favorite","Uniform",101.25
"1222",1,1,6,371,15,14,4093,15,"Uniform","Uniform",130.01
"1105",1,2,6,428,14,13,1221,14,"Favorite","Uniform",130
"1567",1,1,5,360,15,15,844,15,"Favorite","Uniform",132.5
"1339",1,5,3,363,15,15,2043,15,"Favorite","Uniform",105
"1524",1,1,7,371,19,19,624,15,"Favorite","Uniform",282.95
"1247",1,3,1,449,9,9,629,9,"Favorite","Uniform",105
"2880",1,2,2,218,17,12,1406,17,"Favorite","Uniform",120
"298",2,2,5,459,16,16,4413,16,"Favorite","Uniform",114.33
"412",1,2,5,255,24,24,244,22,"Favorite","Uniform",239.23
"3042",1,6,3,469,37,31,2152,31,"Favorite","Uniform",452.2
"2198",1,4,6,353,17,17,720,17,"Favorite","Uniform",200
"2326",1,3,3,425,18,17,2873,14,"Favorite","Uniform",199.3
"2942",1,3,3,370,16,10,488,16,"Uniform","Uniform",135
"737",1,2,3,385,22,15,1337,22,"Uniform","Uniform",117.5
"1263",2,3,1,367,11,11,1197,11,"Favorite","Uniform",141.95
"1379",1,2,8,435,24,16,788,24,"Favorite","Uniform",146.25
"1543",1,3,8,381,15,14,629,15,"Favorite","Uniform",167.51
"1892",1,2,4,434,13,13,2317,13,"Uniform","Uniform",100.04
"867",1,1,5,181,21,19,795,21,"Uniform","Uniform",162.5
"2117",1,4,4,451,10,10,1652,10,"Favorite","Uniform",150
"3185",1,5,3,397,26,20,698,26,"Uniform","Uniform",147.52
"2969",1,5,4,245,23,18,866,23,"Uniform","Uniform",187.49
"131",2,2,3,356,9,9,1349,9,"Favorite","Uniform",117.17
"660",1,2,4,419,22,23,4224,20,"Favorite","Uniform",232.47
"1261",1,1,7,373,13,11,617,13,"Uniform","Uniform",120
"1544",1,2,6,432,11,11,239,10,"Favorite","Uniform",116.2
"1041",1,2,4,217,16,16,1172,7,"Favorite","Uniform",174.27
"48",1,3,6,410,36,26,4481,36,"Favorite","Uniform",275
"1576",1,2,4,375,9,9,1667,3,"Favorite","Uniform",142.38
"1349",1,1,5,465,14,14,59,3,"Favorite","Uniform",333.16
"1136",1,1,4,445,34,27,2095,34,"Favorite","Uniform",295
"159",2,2,6,234,12,12,315,12,"Favorite","Uniform",162.81
"2856",1,2,6,338,10,10,500,10,"Favorite","Favorite",135
"1370",1,1,5,180,11,11,1670,11,"Favorite","Uniform",110.01
"1540",1,4,4,377,23,22,6172,23,"Favorite","Uniform",250
"850",1,1,6,432,26,26,5704,26,"Favorite","Uniform",255.01
"2015",1,1,6,374,11,9,3079,11,"Favorite","Uniform",107.5
"1118",1,1,8,251,14,13,610,5,"Favorite","Uniform",293.48
"1515",1,4,3,420,11,10,3749,10,"Favorite","Uniform",143.24
"2835",1,1,4,400,6,6,152,5,"Favorite","Uniform",140.09
"816",1,1,5,308,25,25,1674,25,"Favorite","Uniform",352.5
"2943",1,2,3,216,39,24,394,39,"Uniform","Uniform",192.52
"2127",1,2,4,445,12,12,1694,12,"Favorite","Uniform",122.5
"2033",1,3,5,452,6,7,4474,4,"Favorite","Uniform",142.47
"1952",1,1,7,323,13,11,454,10,"Favorite","Uniform",128.65
"3170",1,3,3,368,16,12,705,16,"Favorite","Uniform",105
"2506",1,4,4,429,28,18,29,28,"Favorite","Uniform",132.5
"2403",1,2,3,334,19,16,1231,9,"Favorite","Uniform",221.79
"3129",2,2,3,285,8,8,133,8,"Favorite","Uniform",117.64
"270",2,2,3,365,13,13,2424,13,"Favorite","Uniform",131.46
"1830",1,1,4,339,14,13,1353,14,"Favorite","Uniform",112.5
"2276",1,2,4,174,16,16,1953,16,"Favorite","Uniform",180
"2991",1,3,8,359,2,2,0,0,"Favorite","NONE",124.98
"682",1,2,4,406,8,8,396,8,"Favorite","Uniform",100
"1789",1,3,4,270,8,9,863,2,"Favorite","Uniform",129.95
"2806",1,2,6,431,15,15,462,15,"Favorite","Uniform",117.51
"2465",1,2,4,425,7,7,8,1,"Favorite","Favorite",102.17
"1177",1,2,4,466,11,11,1390,11,"Favorite","Uniform",110
"2545",1,3,2,424,17,13,2484,17,"Favorite","Uniform",145
"3119",1,1,5,333,11,11,152,7,"Favorite","Uniform",124.21
"2003",1,1,6,374,16,16,733,16,"Favorite","Uniform",110
"2483",1,2,5,371,13,13,1233,13,"Favorite","Uniform",150
"1893",1,2,6,374,20,16,1940,20,"Favorite","Uniform",142.5
"2788",1,2,4,308,7,7,788,2,"Favorite","Uniform",155.95
"2938",1,1,6,438,38,27,807,37,"Uniform","Uniform",226.26
"1427",1,1,5,343,13,10,783,13,"Favorite","Uniform",107.5
"3139",1,1,6,285,15,13,1305,15,"Favorite","Uniform",132.5
"2040",1,5,4,392,26,26,90,26,"Favorite","Uniform",205
"1147",1,2,5,283,17,17,39,17,"Favorite","Uniform",207.5
"1972",1,2,4,447,28,21,3841,23,"Uniform","Uniform",225.45
"2352",1,1,6,392,20,16,2386,20,"Favorite","Uniform",152.5
"1108",1,1,7,174,12,12,419,12,"Favorite","Uniform",105
"672",1,3,6,123,21,21,797,19,"Favorite","Uniform",183.53
"1852",1,2,5,394,14,14,5509,14,"Favorite","Uniform",112.5
"2075",1,4,3,334,15,14,2484,15,"Favorite","Uniform",185
"2157",1,2,5,416,22,21,1549,22,"Favorite","Uniform",179.52
"103",2,2,4,403,17,17,3895,17,"Favorite","Uniform",223.43
"93",2,2,3,459,6,6,340,6,"Favorite","Uniform",113.77
"1622",1,2,6,187,10,9,731,10,"Uniform","Uniform",115
"2627",1,7,3,447,30,29,1079,30,"Favorite","Uniform",269.25
"303",2,2,4,137,15,15,1131,15,"Favorite","Uniform",181.57
"1323",1,2,4,430,43,32,2188,43,"Favorite","Uniform",225
"2410",1,2,5,390,13,13,1009,13,"Favorite","Uniform",110
"820",1,2,6,364,23,20,5051,23,"Favorite","Uniform",186
"2853",1,3,3,280,25,14,2440,25,"Favorite","Uniform",155.5
"1926",1,2,6,320,14,14,695,8,"Uniform","Uniform",201.59
"2362",1,1,6,420,25,16,2458,25,"Favorite","Uniform",113
"2351",1,2,4,424,10,9,1131,10,"Uniform","Uniform",130
"323",2,2,6,103,8,8,3607,8,"Favorite","Uniform",105.83
"1391",1,1,7,195,7,7,27,7,"Favorite","Favorite",102.5
"1471",1,2,4,128,15,15,211,15,"Favorite","Uniform",145
"1800",1,2,4,197,20,18,821,18,"Favorite","Uniform",152.98
"2255",1,2,4,368,24,22,3585,21,"Uniform","Uniform",202.5
"1664",1,1,9,298,8,8,221,8,"Favorite","Uniform",100
"2439",1,2,4,435,20,17,383,20,"Uniform","Uniform",102.54
"2108",1,5,3,332,18,16,47,11,"Uniform","Favorite",148.64
"1138",1,1,6,269,26,23,4503,26,"Favorite","Uniform",228.75
"1090",1,2,3,258,8,8,37,3,"Favorite","Favorite",111.71
"239",2,2,6,187,9,9,859,9,"Favorite","Uniform",102.58
"984",1,3,4,338,13,13,0,10,"Favorite","NONE",153.43
"3096",1,1,8,421,19,19,350,19,"Favorite","Uniform",205
"3013",1,2,3,306,15,15,454,15,"Favorite","Uniform",195
"3113",1,2,6,429,24,16,872,24,"Uniform","Uniform",107.52
"73",2,2,5,406,9,9,1096,9,"Favorite","Uniform",143.32
"937",1,2,4,415,11,11,1656,11,"Favorite","Uniform",137.5
"1642",1,1,4,397,16,15,796,16,"Favorite","Uniform",142.5
"837",1,1,4,328,15,14,369,15,"Uniform","Uniform",105
